'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'38-5512'	'Exibel trådløs, optisk mus'	'Optisk mus med klikkbart scrollehjul. 3 knapper. 800/1200/1600 dpi'	'Mus'	'Multimedia > Datautstyr > Mus'	'https://www.clasohlson.com/no/Exibel-tradlos,-optisk-mus/p/38-5512'	'https://images.clasohlson.com/medias/sys_master/he2/h8b/68632923635742.png'	'new'	'in_stock'	'149.9 NOK'	'129.9 NOK'		'EXIBEL'																			
'39-1690'	'D-link G403 N300 4G-router'	'Gir deg AI-optimert WiFi på hytta eller i bobilen. D-Link G403 4G-router med pla....'	'4G & 5G Router'	'Multimedia > Nettverk > 4G &amp; 5G Router'	'https://www.clasohlson.com/no/D-link-G403-N300-4G-router/p/39-1690'	'https://images.clasohlson.com/medias/sys_master/h57/h4e/68638310498334.png'	'new'	'out_of_stock'	'1090 NOK'	'879 NOK'		'D-LINK'																			
'35-1391'	'Blanderfeste'	'Innfesting, hullavstand c/c150 mm. R3/4" tilkobling for utenpåliggende røroppleg....'	'Dusjbatteri og tilbehør'	'Jernvare > Vann og avløp > Dusjbatteri og tilbehør'	'https://www.clasohlson.com/no/Blanderfeste/p/35-1391'	'https://images.clasohlson.com/medias/sys_master/h03/hd1/68638058545182.png'	'new'	'out_of_stock'	'699 NOK'	'299.9 NOK'		'GELIA'																			
'31-6507'	'GraviTrax Pro Vertical Startsett kulebane, fra 8 år'	'Bygg egne kulebanesystemer i høyden – komplett startsett med 153 deler. GraviTra....'	'Kulebaner'	'Fritid > Leker og spill > Kulebaner'	'https://www.clasohlson.com/no/GraviTrax-Pro-Vertical-Startsett-kulebane,-fra-8-ar/p/31-6507'	'https://images.clasohlson.com/medias/sys_master/hb3/h13/68634221281310.png'	'new'	'in_stock'	'699 NOK'	'599 NOK'		'GRAVITRAX'																			
'36-7724'	'Philips Hue Play lysskinne 2-pack'	'Effektfull belysning til hjemmet. Velg mellom 50 000 nyanser hvitt lys og 16 mil....'	'Philips Hue smartbelysning'	'Elektro > Smarthjem og hjemmeautomasjon > Philips Hue smartbelysning'	'https://www.clasohlson.com/no/Philips-Hue-Play-lysskinne-2-pack/p/36-7724'	'https://images.clasohlson.com/medias/sys_master/h27/h49/68652268617758.png'	'new'	'out_of_stock'	'1349 NOK'	'1049 NOK'		'PHILIPS HUE'																		'stk'	
'39-3604'	'Deltaco 3-i-1 gamingsett med tastatur, mus og musematte'	'Prisgunstig sett for deg som vil ha god presisjon og kontroll når du spiller. De....'	'Gamingtastatur'	'Multimedia > Gaming og spillkonsoller > Gamingtastatur'	'https://www.clasohlson.com/no/Deltaco-3-i-1-gamingsett-med-tastatur,-mus-og-musematte/p/39-3604'	'https://images.clasohlson.com/medias/sys_master/h98/ha1/68651139825694.png'	'new'	'out_of_stock'	'499.9 NOK'	'349 NOK'		'DELTACO GAMING'																			
'31-7397'	'Hendee radiostyrt bil til utendørsbruk, fra 14 år'	'Superkjapp racerbil med store dekk og fjæring – toppfart på 30 km/t. Hendee – en....'	'Radiostyrte leker'	'Fritid > Leker og spill > Radiostyrte leker'	'https://www.clasohlson.com/no/Hendee-radiostyrt-bil-til-utendorsbruk,-fra-14-ar/p/31-7397'	'https://images.clasohlson.com/medias/sys_master/h8d/h90/68635546091550.png'	'new'	'in_stock'	'999 NOK'	'799 NOK'																					
'31-6166-2'	'Raggsokker, melerte, 2 par'	'Ullet gjør at føttene kjennes tørre lengre. S....'	'Varme sokker og ullundertøy'	'Fritid > Sport og utendørsaktivitet > Varme sokker og ullundertøy'	'https://www.clasohlson.com/no/Raggsokker,-melerte,-2-par/p/31-6166-2'	'https://images.clasohlson.com/medias/sys_master/h20/h74/68636728688670.png'	'new'	'in_stock'	'89.9 NOK'	'59.9 NOK'		'CLAS OHLSON'								' 41/45 '										'stk'	
'39-3805-1'	'Squishmallows Cameron Bluetooth-høyttaler for barn'	'Bærbar, myk høyttaler med plysj – oppladbar og enkel å bruke for barn. Squishmal....'	'Bluetooth-høyttalere'	'Multimedia > Høyttalere og lyd > Bluetooth høyttalere'	'https://www.clasohlson.com/no/Squishmallows-Cameron-Bluetooth-hoyttaler-for-barn/p/39-3805-1'	'https://images.clasohlson.com/medias/sys_master/h0c/hab/68656969121822.png'	'new'	'in_stock'	'399.9 NOK'	'299 NOK'		'SQUISHMALLOWS'																			
'41-1267'	'Cocraft HL 20-SG krysslaser'	'Grønn laserlinje - er mer synlig ved sterkt lys. Følg laserens rette linjer så b....'	'Laserinstrumenter'	'Jernvare > Måleinstrumenter > Laserinstrumenter'	'https://www.clasohlson.com/no/Cocraft-HL-20-SG-krysslaser/p/41-1267'	'https://images.clasohlson.com/medias/sys_master/hf1/hc1/68638600232990.png'	'new'	'out_of_stock'	'799 NOK'	'559 NOK'		'COCRAFT'																			
